State,Metric,Year,Value
Alabama,Median Household Income,2023,59218
Alabama,Unemployment Rate,2023,2.4
Alabama,Minimum Wage,2023,7.25
Alabama,Cost of Living Index,2023,88.5
Florida,Median Household Income,2023,67917
Florida,Unemployment Rate,2023,2.8
Florida,Minimum Wage,2023,12.00
Florida,Cost of Living Index,2023,103.1
Texas,Median Household Income,2023,73035
Texas,Unemployment Rate,2023,4.1
Texas,Minimum Wage,2023,7.25
Texas,Cost of Living Index,2023,95.7
California,Median Household Income,2023,91551
California,Unemployment Rate,2023,4.6
California,Minimum Wage,2023,16.00
California,Cost of Living Index,2023,151.7
New York,Median Household Income,2023,81386
New York,Unemployment Rate,2023,4.3
New York,Minimum Wage,2023,15.00
New York,Cost of Living Index,2023,148.2
Georgia,Median Household Income,2023,69239
Georgia,Unemployment Rate,2023,3.2
Georgia,Minimum Wage,2023,7.25
Georgia,Cost of Living Index,2023,91.4
Illinois,Median Household Income,2023,78433
Illinois,Unemployment Rate,2023,4.9
Illinois,Minimum Wage,2023,13.00
Illinois,Cost of Living Index,2023,105.8
North Carolina,Median Household Income,2023,64273
North Carolina,Unemployment Rate,2023,3.5
North Carolina,Minimum Wage,2023,7.25
North Carolina,Cost of Living Index,2023,94.2
Ohio,Median Household Income,2023,64176
Ohio,Unemployment Rate,2023,4.0
Ohio,Minimum Wage,2023,10.10
Ohio,Cost of Living Index,2023,90.8
Michigan,Median Household Income,2023,68505
Michigan,Unemployment Rate,2023,4.3
Michigan,Minimum Wage,2023,10.10
Michigan,Cost of Living Index,2023,92.1
Pennsylvania,Median Household Income,2023,70571
Pennsylvania,Unemployment Rate,2023,3.8
Pennsylvania,Minimum Wage,2023,7.25
Pennsylvania,Cost of Living Index,2023,96.9
Arizona,Median Household Income,2023,72581
Arizona,Unemployment Rate,2023,4.2
Arizona,Minimum Wage,2023,14.35
Arizona,Cost of Living Index,2023,106.9
Washington,Median Household Income,2023,90325
Washington,Unemployment Rate,2023,4.1
Washington,Minimum Wage,2023,16.28
Washington,Cost of Living Index,2023,115.9
Nevada,Median Household Income,2023,69751
Nevada,Unemployment Rate,2023,5.4
Nevada,Minimum Wage,2023,12.00
Nevada,Cost of Living Index,2023,104.5
Wisconsin,Median Household Income,2023,67125
Wisconsin,Unemployment Rate,2023,3.0
Wisconsin,Minimum Wage,2023,7.25
Wisconsin,Cost of Living Index,2023,93.8
Maryland,Median Household Income,2023,98461
Maryland,Unemployment Rate,2023,2.9
Maryland,Minimum Wage,2023,15.00
Maryland,Cost of Living Index,2023,117.8
Virginia,Median Household Income,2023,87249
Virginia,Unemployment Rate,2023,3.1
Virginia,Minimum Wage,2023,12.00
Virginia,Cost of Living Index,2023,103.7
Colorado,Median Household Income,2023,87598
Colorado,Unemployment Rate,2023,3.8
Colorado,Minimum Wage,2023,14.42
Colorado,Cost of Living Index,2023,109.5
Oregon,Median Household Income,2023,76632
Oregon,Unemployment Rate,2023,4.2
Oregon,Minimum Wage,2023,15.45
Oregon,Cost of Living Index,2023,113.8 
