State,Metric,Year,Value
Alabama,Voter Turnout,2022,54.2
Alabama,State Income Tax Rate,2023,5.0
Alabama,Government Employment Rate,2023,16.8
Alabama,Property Tax Rate,2023,0.42
California,Voter Turnout,2022,58.9
California,State Income Tax Rate,2023,13.3
California,Government Employment Rate,2023,14.2
California,Property Tax Rate,2023,0.68
Texas,Voter Turnout,2022,46.3
Texas,State Income Tax Rate,2023,0.0
Texas,Government Employment Rate,2023,13.1
Texas,Property Tax Rate,2023,1.69
Florida,Voter Turnout,2022,50.1
Florida,State Income Tax Rate,2023,0.0
Florida,Government Employment Rate,2023,12.4
Florida,Property Tax Rate,2023,0.86
New York,Voter Turnout,2022,51.8
New York,State Income Tax Rate,2023,10.9
New York,Government Employment Rate,2023,17.2
New York,Property Tax Rate,2023,1.40
Massachusetts,Voter Turnout,2022,63.2
Massachusetts,State Income Tax Rate,2023,5.0
Massachusetts,Government Employment Rate,2023,15.1
Massachusetts,Property Tax Rate,2023,1.04
Connecticut,Voter Turnout,2022,62.7
Connecticut,State Income Tax Rate,2023,6.99
Connecticut,Government Employment Rate,2023,16.3
Connecticut,Property Tax Rate,2023,1.73
Washington,Voter Turnout,2022,60.8
Washington,State Income Tax Rate,2023,0.0
Washington,Government Employment Rate,2023,14.8
Washington,Property Tax Rate,2023,1.00
Oregon,Voter Turnout,2022,64.1
Oregon,State Income Tax Rate,2023,9.9
Oregon,Government Employment Rate,2023,15.6
Oregon,Property Tax Rate,2023,0.93
Colorado,Voter Turnout,2022,66.4
Colorado,State Income Tax Rate,2023,4.4
Colorado,Government Employment Rate,2023,15.2
Colorado,Property Tax Rate,2023,0.51
Utah,Voter Turnout,2022,52.1
Utah,State Income Tax Rate,2023,4.95
Utah,Government Employment Rate,2023,16.7
Utah,Property Tax Rate,2023,0.58
Nevada,Voter Turnout,2022,48.6
Nevada,State Income Tax Rate,2023,0.0
Nevada,Government Employment Rate,2023,16.9
Nevada,Property Tax Rate,2023,0.65
Arizona,Voter Turnout,2022,60.0
Arizona,State Income Tax Rate,2023,4.5
Arizona,Government Employment Rate,2023,14.1
Arizona,Property Tax Rate,2023,0.62
Idaho,Voter Turnout,2022,60.2
Idaho,State Income Tax Rate,2023,5.8
Idaho,Government Employment Rate,2023,16.4
Idaho,Property Tax Rate,2023,0.69
Montana,Voter Turnout,2022,71.0
Montana,State Income Tax Rate,2023,6.75
Montana,Government Employment Rate,2023,18.9
Montana,Property Tax Rate,2023,0.85
Wyoming,Voter Turnout,2022,58.4
Wyoming,State Income Tax Rate,2023,0.0
Wyoming,Government Employment Rate,2023,21.3
Wyoming,Property Tax Rate,2023,0.62
North Dakota,Voter Turnout,2022,56.3
North Dakota,State Income Tax Rate,2023,2.9
North Dakota,Government Employment Rate,2023,17.8
North Dakota,Property Tax Rate,2023,1.00
South Dakota,Voter Turnout,2022,61.9
South Dakota,State Income Tax Rate,2023,0.0
South Dakota,Government Employment Rate,2023,16.2
South Dakota,Property Tax Rate,2023,1.31
Nebraska,Voter Turnout,2022,55.4
Nebraska,State Income Tax Rate,2023,6.84
Nebraska,Government Employment Rate,2023,17.1
Nebraska,Property Tax Rate,2023,1.54
Kansas,Voter Turnout,2022,51.2
Kansas,State Income Tax Rate,2023,5.7
Kansas,Government Employment Rate,2023,16.8
Kansas,Property Tax Rate,2023,1.42
Oklahoma,Voter Turnout,2022,47.8
Oklahoma,State Income Tax Rate,2023,5.0
Oklahoma,Government Employment Rate,2023,17.2
Oklahoma,Property Tax Rate,2023,0.90
New Mexico,Voter Turnout,2022,54.1
New Mexico,State Income Tax Rate,2023,5.9
New Mexico,Government Employment Rate,2023,20.8
New Mexico,Property Tax Rate,2023,0.80
Minnesota,Voter Turnout,2022,64.3
Minnesota,State Income Tax Rate,2023,9.85
Minnesota,Government Employment Rate,2023,14.9
Minnesota,Property Tax Rate,2023,1.12
Wisconsin,Voter Turnout,2022,62.1
Wisconsin,State Income Tax Rate,2023,7.65
Wisconsin,Government Employment Rate,2023,14.2
Wisconsin,Property Tax Rate,2023,1.76
Iowa,Voter Turnout,2022,55.8
Iowa,State Income Tax Rate,2023,8.53
Iowa,Government Employment Rate,2023,15.6
Iowa,Property Tax Rate,2023,1.53
Missouri,Voter Turnout,2022,53.7
Missouri,State Income Tax Rate,2023,5.4
Missouri,Government Employment Rate,2023,14.8
Missouri,Property Tax Rate,2023,0.97
Arkansas,Voter Turnout,2022,48.9
Arkansas,State Income Tax Rate,2023,5.5
Arkansas,Government Employment Rate,2023,16.4
Arkansas,Property Tax Rate,2023,0.62
Louisiana,Voter Turnout,2022,50.4
Louisiana,State Income Tax Rate,2023,6.0
Louisiana,Government Employment Rate,2023,16.8
Louisiana,Property Tax Rate,2023,0.55
Mississippi,Voter Turnout,2022,47.1
Mississippi,State Income Tax Rate,2023,5.0
Mississippi,Government Employment Rate,2023,18.2
