State,Metric,Year,Value
Alabama,Life Expectancy,2023,75.4
Alabama,Obesity Rate,2023,36.1
Alabama,Infant Mortality Rate,2023,8.4
Alabama,Healthcare Spending Per Capita,2023,8567
California,Life Expectancy,2023,80.8
California,Obesity Rate,2023,25.2
California,Infant Mortality Rate,2023,4.2
California,Healthcare Spending Per Capita,2023,8234
Texas,Life Expectancy,2023,78.5
Texas,Obesity Rate,2023,33.7
Texas,Infant Mortality Rate,2023,5.8
Texas,Healthcare Spending Per Capita,2023,7834
Florida,Life Expectancy,2023,79.1
Florida,Obesity Rate,2023,28.4
Florida,Infant Mortality Rate,2023,6.0
Florida,Healthcare Spending Per Capita,2023,8123
New York,Life Expectancy,2023,80.7
New York,Obesity Rate,2023,25.7
New York,Infant Mortality Rate,2023,4.6
New York,Healthcare Spending Per Capita,2023,9567
Massachusetts,Life Expectancy,2023,80.9
Massachusetts,Obesity Rate,2023,24.3
Massachusetts,Infant Mortality Rate,2023,3.9
Massachusetts,Healthcare Spending Per Capita,2023,10234
Connecticut,Life Expectancy,2023,80.8
Connecticut,Obesity Rate,2023,26.3
Connecticut,Infant Mortality Rate,2023,4.1
Connecticut,Healthcare Spending Per Capita,2023,9876
Hawaii,Life Expectancy,2023,81.6
Hawaii,Obesity Rate,2023,23.8
Hawaii,Infant Mortality Rate,2023,5.4
Hawaii,Healthcare Spending Per Capita,2023,7234
Washington,Life Expectancy,2023,79.2
Washington,Obesity Rate,2023,27.7
Washington,Infant Mortality Rate,2023,4.4
Washington,Healthcare Spending Per Capita,2023,8345
Minnesota,Life Expectancy,2023,79.1
Minnesota,Obesity Rate,2023,28.4
Minnesota,Infant Mortality Rate,2023,4.4
Minnesota,Healthcare Spending Per Capita,2023,8567
Utah,Life Expectancy,2023,78.6
Utah,Obesity Rate,2023,25.0
Utah,Infant Mortality Rate,2023,5.0
Utah,Healthcare Spending Per Capita,2023,7123
Vermont,Life Expectancy,2023,78.8
Vermont,Obesity Rate,2023,26.6
Vermont,Infant Mortality Rate,2023,4.4
Vermont,Healthcare Spending Per Capita,2023,9234
New Hampshire,Life Expectancy,2023,79.3
New Hampshire,Obesity Rate,2023,27.4
New Hampshire,Infant Mortality Rate,2023,4.2
New Hampshire,Healthcare Spending Per Capita,2023,8456
Colorado,Life Expectancy,2023,78.3
Colorado,Obesity Rate,2023,24.2
Colorado,Infant Mortality Rate,2023,4.5
Colorado,Healthcare Spending Per Capita,2023,7890
New Jersey,Life Expectancy,2023,80.0
New Jersey,Obesity Rate,2023,26.9
New Jersey,Infant Mortality Rate,2023,4.7
New Jersey,Healthcare Spending Per Capita,2023,9123
Virginia,Life Expectancy,2023,78.7
Virginia,Obesity Rate,2023,31.3
