State,Metric,Year,Value
Alabama,Highway Miles Per Capita,2023,0.089
Alabama,Structurally Deficient Bridges,2023,7.8
Alabama,EV Charging Stations,2023,285
Alabama,Public Transit Ridership Per Capita,2023,12.5
California,Highway Miles Per Capita,2023,0.042
California,Structurally Deficient Bridges,2023,7.5
California,EV Charging Stations,2023,14567
California,Public Transit Ridership Per Capita,2023,89.4
Texas,Highway Miles Per Capita,2023,0.067
Texas,Structurally Deficient Bridges,2023,8.2
Texas,EV Charging Stations,2023,5234
Texas,Public Transit Ridership Per Capita,2023,34.7
Florida,Highway Miles Per Capita,2023,0.058
Florida,Structurally Deficient Bridges,2023,2.1
Florida,EV Charging Stations,2023,3456
Florida,Public Transit Ridership Per Capita,2023,23.8
New York,Highway Miles Per Capita,2023,0.029
New York,Structurally Deficient Bridges,2023,12.1
New York,EV Charging Stations,2023,4567
New York,Public Transit Ridership Per Capita,2023,234.5
Massachusetts,Highway Miles Per Capita,2023,0.027
Massachusetts,Structurally Deficient Bridges,2023,9.4
Massachusetts,EV Charging Stations,2023,2134
Massachusetts,Public Transit Ridership Per Capita,2023,156.7
Connecticut,Highway Miles Per Capita,2023,0.031
Connecticut,Structurally Deficient Bridges,2023,6.2
Connecticut,EV Charging Stations,2023,987
Connecticut,Public Transit Ridership Per Capita,2023,78.9
Washington,Highway Miles Per Capita,2023,0.045
Washington,Structurally Deficient Bridges,2023,4.8
Washington,EV Charging Stations,2023,3789
Washington,Public Transit Ridership Per Capita,2023,98.7
Oregon,Highway Miles Per Capita,2023,0.067
Oregon,Structurally Deficient Bridges,2023,3.2
Oregon,EV Charging Stations,2023,1897
Oregon,Public Transit Ridership Per Capita,2023,65.4
Colorado,Highway Miles Per Capita,2023,0.078
Colorado,Structurally Deficient Bridges,2023,5.8
Colorado,EV Charging Stations,2023,2345
Colorado,Public Transit Ridership Per Capita,2023,45.6
Utah,Highway Miles Per Capita,2023,0.067
Utah,Structurally Deficient Bridges,2023,3.4
Utah,EV Charging Stations,2023,1234
Utah,Public Transit Ridership Per Capita,2023,32.1
Nevada,Highway Miles Per Capita,2023,0.156
Nevada,Structurally Deficient Bridges,2023,4.5
Nevada,EV Charging Stations,2023,567
Nevada,Public Transit Ridership Per Capita,2023,18.7
Arizona,Highway Miles Per Capita,2023,0.067
Arizona,Structurally Deficient Bridges,2023,3.8
Arizona,EV Charging Stations,2023,1789
Arizona,Public Transit Ridership Per Capita,2023,25.4
Idaho,Highway Miles Per Capita,2023,0.156
Idaho,Structurally Deficient Bridges,2023,4.2
Idaho,EV Charging Stations,2023,234
Idaho,Public Transit Ridership Per Capita,2023,8.9
Montana,Highway Miles Per Capita,2023,0.289
Montana,Structurally Deficient Bridges,2023,5.1
Montana,EV Charging Stations,2023,178
Montana,Public Transit Ridership Per Capita,2023,6.7
Wyoming,Highway Miles Per Capita,2023,0.345
Wyoming,Structurally Deficient Bridges,2023,6.8
Wyoming,EV Charging Stations,2023,89
